food_name,Protein (g),Total lipid (fat) (g),"Carbohydrate, by difference (g)",Energy (kcal),"Alcohol, ethyl (g)",Water (g),Caffeine (mg),Theobromine (mg),Total Sugars (g),"Fiber, total dietary (g)","Calcium, Ca (mg)","Iron, Fe (mg)","Magnesium, Mg (mg)","Phosphorus, P (mg)","Potassium, K (mg)","Sodium, Na (mg)","Zinc, Zn (mg)","Copper, Cu (mg)","Selenium, Se (µg)",Retinol (µg),"Vitamin A, RAE (µg)","Carotene, beta (µg)","Carotene, alpha (µg)",Vitamin E (alpha-tocopherol) (mg),Vitamin D (D2 + D3) (µg),"Cryptoxanthin, beta (µg)",Lycopene (µg),Lutein + zeaxanthin (µg),"Vitamin C, total ascorbic acid (mg)",Thiamin (mg),Riboflavin (mg),Niacin (mg),Vitamin B-6 (mg),"Folate, total (µg)",Vitamin B-12 (µg),"Choline, total (mg)",Vitamin K (phylloquinone) (µg),Folic acid (µg),"Folate, food (µg)","Folate, DFE (µg)","Vitamin E, added (mg)","Vitamin B-12, added (µg)",Cholesterol (mg),"Fatty acids, total saturated (g)",SFA 4:0 (g),SFA 6:0 (g),SFA 8:0 (g),SFA 10:0 (g),SFA 12:0 (g),SFA 14:0 (g),SFA 16:0 (g),SFA 18:0 (g),MUFA 18:1 (g),PUFA 18:2 (g),PUFA 18:3 (g),PUFA 20:4 (g),PUFA 22:6 n-3 (DHA) (g),MUFA 16:1 (g),PUFA 18:4 (g),MUFA 20:1 (g),PUFA 20:5 n-3 (EPA) (g),MUFA 22:1 (g),PUFA 22:5 n-3 (DPA) (g),"Fatty acids, total monounsaturated (g)","Fatty acids, total polyunsaturated (g)"
Alfredo Sauce,5.3325,12.615,2.03625,143.375,0,78.40875,0,0,1.005,0.1625,58.25,0.3325,8.5,76.625,105.375,477.25,0.7225,0.042125,7.3,107.625,111.75,44.875,1,0.34375,0.375,9.625,0,51.875,4.75,0.02125,0.097875,0.886625,0.063625,5.5,0.685,17.525,1.5,0,5.5,5.5,0,0,48.625,6.87325,0.241,0.194125,0.120625,0.28325,0.335,1.083375,3.225125,1.147,2.878375,0.389125,0.053375,0.025125,0.00875,0.23475,0.00125,0.023875,0.0115,0.001,0.007875,2.851,0.625625
Artichoke Dip,3.86,32.67,5.78,331,0,55.49,0,0,2.08,0.9,103,0.21,13,97,130,607,0.55,0.035,4.4,70,71,3,0,1.27,0.1,1,0,67,2,0.032,0.1,0.207,0.048,18,0.15,24.1,56.6,0,18,18,0,0,37,8.459,0.044,0.096,0.066,0.168,0.231,0.757,4.79,1.734,7.247,13.19,1.844,0.028,0.002,0.151,0,0.092,0.003,0.007,0.005,7.264,15.171
Bean Dip,5.44,3.7,15.89,119,0,72.95,0,0,0.99,4.9,26,1.6,40,105,368,443,0.69,0.196,7.7,0,0,0,0,0.91,0,0,0,0,0.6,0.09,0.1,0.43,0.115,21,0,16.3,1.7,0,21,21,0,0,0,0.529,0,0,0.001,0.005,0.001,0.005,0.423,0.061,0.842,1.76,0.193,0.002,0,0.003,0,0.012,0,0,0,0.859,1.957
Black Bean,6.28,8.45,17.36,168,0,52.04,0,0,9.26,2.6,27,1.26,54,118,307,5843,0.72,0.074,0.6,0,0,0,0,1.19,0,0,0,0,0,0.078,0.099,1.224,0.091,44,0,17.3,15.5,0,44,44,0,0,0,1.263,0,0,0,0,0,0.006,0.886,0.302,1.764,4.22,0.57,0,0,0.006,0,0.048,0,0,0,1.824,4.797
Cheese Dip,3.14,11.39,9.5,153,0,73.73,0,0,1.12,0.5,84.5,0.35,7,127.5,66,726,0.415,0.013,3,20.5,26,56,0,1.92,0,15,150,34.5,0.2,0.051,0.0735,0.4005,0.029,10.5,0.17,5.5,14.05,6,5,15,0,0,9,2.7855,0.0695,0.03,0.027,0.06,0.0825,0.2555,1.5715,0.553,3.7605,3.451,0.3945,0.0015,0,0.0855,0,0.058,0,0.001,0.0005,3.8515,3.849
Cheese Fondue,19.32,21.2,1.95,276,0,55.02,0,0,0.53,0,639,0.32,27,401,85,303,2.8,0.032,15.2,186,188,31,0,0.3,0.2,1,0,3,0,0.032,0.203,0.166,0.053,7,1.09,10.6,1.4,1,6,8,0,0,68,12.415,0.578,0.389,0.228,0.507,0.597,2.103,5.719,1.841,5.236,0.801,0.188,0.015,0,0.431,0,0.02,0.003,0.001,0.006,5.788,0.966
Cheese Sauce,3.14,13.27,7.86,163,0,73.74,0,0,0.29,0.3,71,0.56,6,55,27,656,0.42,0.022,2.8,19,19,0,0,1.98,0,0,0,2,0,0.09,0.082,0.665,0.015,15,0.09,3.1,10.5,12,4,24,0,0,9,3.08,0.086,0.022,0.027,0.051,0.091,0.274,1.818,0.546,4.889,3.587,0.472,0,0,0.116,0,0.069,0,0,0,4.941,4.055
Chipotle Dip,3.913333333,25.40666667,6.56,270,0,62.05333333,0,0,4.123333333,0,72.33333333,0.11,7,70.66666667,109.3333333,647.3333333,0.346666667,0.017666667,5.233333333,65.66666667,67.33333333,20.66666667,1,1.21,0.066666667,2.333333333,0,21.66666667,3.233333333,0.029,0.112,0.103333333,0.035,8,0.236666667,19.3,45.76666667,0,8,8,0,0,28.66666667,6.241666667,0.069333333,0.072666667,0.046666667,0.118333333,0.150666667,0.511,3.539333333,1.347333333,5.662,10.73333333,1.512333333,0.018333333,0.001666667,0.116333333,0,0.071333333,0.001,0.007333333,0.001666667,5.799,12.32633333
Curry Sauce,1.39,8.22,5.03,95,0,83.73,0,0,3.37,1.4,21,0.89,15,36,268,383,0.25,0.111,1.1,3,21,207,0,2.31,0.1,2,11116,19,5.8,0.025,0.069,0.855,0.084,9,0.03,9.6,8.3,0,9,9,0,0,1,2.477,0.007,0.014,0.12,0.099,0.748,0.322,0.817,0.294,2.637,2.156,0.268,0,0,0.028,0,0.04,0,0,0,2.711,2.426
Dip Nfs,2.55,45.18,3.94,432,0,45.83,0,0,2.48,0.3,79,0.32,10,73,126,718,0.35,0.018,3.2,82,83,14,0,1.86,0.1,2,0,31,1.7,0.031,0.129,0.154,0.034,8,0.12,28,93.1,0,8,8,0,0,47,10.924,0.017,0.1,0.071,0.185,0.267,0.882,6.313,2.288,10.014,19.203,2.703,0.036,0.003,0.187,0,0.13,0.003,0.011,0.005,10.044,22.115
