food_name,Protein (g),Total lipid (fat) (g),"Carbohydrate, by difference (g)",Energy (kcal),"Alcohol, ethyl (g)",Water (g),Caffeine (mg),Theobromine (mg),Total Sugars (g),"Fiber, total dietary (g)","Calcium, Ca (mg)","Iron, Fe (mg)","Magnesium, Mg (mg)","Phosphorus, P (mg)","Potassium, K (mg)","Sodium, Na (mg)","Zinc, Zn (mg)","Copper, Cu (mg)","Selenium, Se (µg)",Retinol (µg),"Vitamin A, RAE (µg)","Carotene, beta (µg)","Carotene, alpha (µg)",Vitamin E (alpha-tocopherol) (mg),Vitamin D (D2 + D3) (µg),"Cryptoxanthin, beta (µg)",Lycopene (µg),Lutein + zeaxanthin (µg),"Vitamin C, total ascorbic acid (mg)",Thiamin (mg),Riboflavin (mg),Niacin (mg),Vitamin B-6 (mg),"Folate, total (µg)",Vitamin B-12 (µg),"Choline, total (mg)",Vitamin K (phylloquinone) (µg),Folic acid (µg),"Folate, food (µg)","Folate, DFE (µg)","Vitamin E, added (mg)","Vitamin B-12, added (µg)",Cholesterol (mg),"Fatty acids, total saturated (g)",SFA 4:0 (g),SFA 6:0 (g),SFA 8:0 (g),SFA 10:0 (g),SFA 12:0 (g),SFA 14:0 (g),SFA 16:0 (g),SFA 18:0 (g),MUFA 18:1 (g),PUFA 18:2 (g),PUFA 18:3 (g),PUFA 20:4 (g),PUFA 22:6 n-3 (DHA) (g),MUFA 16:1 (g),PUFA 18:4 (g),MUFA 20:1 (g),PUFA 20:5 n-3 (EPA) (g),MUFA 22:1 (g),PUFA 22:5 n-3 (DPA) (g),"Fatty acids, total monounsaturated (g)","Fatty acids, total polyunsaturated (g)"
burgers,17.44354839,14.96435484,17.98209677,280.1290323,0,47.60806452,0,0,2.841774194,1.058064516,118.1290323,2.49516129,24.20967742,174.9193548,231.0967742,408.0322581,3.123548387,0.094258065,23.04193548,18.74193548,20.22580645,16.83870968,0.838709677,0.171935484,0.319354839,0.838709677,168.1451613,14.40322581,0.537096774,0.198822581,0.218741935,4.470483871,0.271225806,42.4516129,1.566451613,47.60483871,4.15483871,16.0483871,26.46774194,53.62903226,0,0,51.59677419,6.030645161,0.043564516,0.03183871,0.020822581,0.049564516,0.058806452,0.538290323,3.287903226,1.749451613,5.158870968,1.097483871,0.114467742,0.008806452,0.000870968,0.405354839,0.004032258,0.034145161,0.002451613,0.003790323,0.008774194,5.684516129,1.236677419
frankfurter sandwiches,11.49517241,14.63413793,20.77241379,261.4827586,0,50.65172414,0,0,3.095862069,1.624137931,90.72413793,2.00862069,22.27586207,144.0344828,237.862069,633.0344828,1.505172414,0.121965517,17.54482759,4.862068966,5.517241379,6.517241379,0.620689655,0.475862069,0.4,1.034482759,113.6551724,19.4137931,2.048275862,0.223965517,0.210827586,3.245517241,0.114034483,40.5862069,0.559655172,34.74827586,2.444827586,17.44827586,23.13793103,52.82758621,0,0.090344828,35.17241379,4.977931034,0.001965517,0.000275862,0.002034483,0.010689655,0.018310345,0.29737931,2.927862069,1.534862069,5.353103448,1.96062069,0.172689655,0.023517241,0.000793103,0.45937931,0.000965517,0.059862069,0.001931034,0.02,0.005172414,5.676896552,2.165517241
chicken fillet sandwiches,15.76666667,11.71238095,22.34285714,260.1428571,0,47.94285714,0,0,2.66047619,1.719047619,117.047619,1.656190476,28.80952381,200.5714286,226.4761905,531.4285714,0.934761905,0.088,22.93333333,18,19.76190476,15.19047619,0.666666667,1.224285714,0.242857143,3.857142857,0,30.0952381,0.447619048,0.236571429,0.186333333,5.522380952,0.304952381,42.38095238,0.223333333,37.72380952,13.94285714,18.57142857,23.66666667,55.19047619,0,0,38.76190476,3.220380952,0.032904762,0.025857143,0.024952381,0.050904762,0.115714286,0.182238095,1.71447619,0.970571429,2.981428571,3.799047619,0.323809524,0.024,0.002095238,0.131285714,0.00047619,0.043428571,0.001380952,0.002238095,0.003095238,3.143809524,4.166666667
egg/breakfast sandwiches,11.78106383,15.40574468,21.30425532,271.5319149,0,49.23829787,0,0,3.056595745,1.278723404,150.4680851,2.012765957,18.95744681,225.1276596,152.2765957,546.6382979,1.251489362,0.062446809,22.99361702,94.38297872,95.65957447,11.82978723,0,0.984680851,1.195744681,4.468085106,0,157.2978723,0.140425532,0.253340426,0.302914894,2.467170213,0.099574468,55.55319149,0.497659574,94.46170213,4.578723404,25.72340426,30.65957447,73.40425532,0,0,141.0638298,6.088085106,0.084148936,0.06412766,0.077595745,0.122106383,0.452021277,0.503680851,3.166893617,1.482340426,4.527659574,2.477553191,0.211638298,0.023276596,0.001531915,0.21606383,0.000148936,0.059787234,0.001297872,0.000787234,0.004404255,4.806595745,2.844680851
tomatoes,3.113333333,2.66,12.64333333,76.66666667,0,78.85,0,0,8.666666667,3.35,34.5,1.848333333,41.66666667,78.66666667,768.1666667,95.5,0.466666667,0.285833333,1.15,8.333333333,44,411.6666667,48.83333333,0.795,0,1,9958.333333,327.3333333,18.58333333,0.296,0.109833333,2.065833333,0.147,20.16666667,0,23.33333333,14.06666667,0,20.16666667,20.16666667,0,0,1.666666667,0.598333333,0.013333333,0.009666667,0.005333333,0.012666667,0.015,0.048666667,0.347,0.125666667,0.760666667,0.747666667,0.065666667,0.000666667,0,0.013666667,0,0.009,0,0,0,0.791333333,0.813833333
carrots,0.778,2.3075,8.1535,55.6,0,87.845,0,0,4.068,2.495,30.3,0.3745,10.4,30.7,218.4,175.8,0.2555,0.0803,0.285,9.25,708.15,6805,3131,0.9685,0.015,0,0.35,232.05,3.22,0.0378,0.05715,0.8021,0.1259,17.55,0,7.83,13.5,0,17.55,17.55,0,0,1.8,0.58805,0.0164,0.0115,0.00675,0.01555,0.019,0.0584,0.3237,0.1137,0.67645,0.58505,0.0654,0.0009,0,0.0136,0,0.00895,5.00E-05,0,0.0003,0.70495,0.64945
other red and orange vegetables,1.3205,2.6535,14.777,86.45,0,80.045,0,0,6.037,2.205,21.2,0.549,16.8,35.6,350.5,132.15,0.2685,0.1324,0.25,10.65,478.7,5242.6,705.15,0.9335,0,47.95,0,293,24.56,0.03765,0.0703,0.54965,0.1485,15.2,0.002,10.81,4.125,0,15.2,15.2,0,0,2.05,0.70385,0.01825,0.01335,0.00775,0.01815,0.02185,0.06945,0.3912,0.13595,0.80805,0.6153,0.09385,0.0012,0,0.01705,0,0.01065,5.00E-05,0,0.0004,0.8451,0.7109
broccoli,2.606666667,2.217333333,5.352666667,48.8,0,88.75333333,0,0,1.213333333,2.613333333,59.06666667,0.852,18.8,60.13333333,242.8,129.1333333,0.428,0.050866667,1.26,7.933333333,53.4,540.4,4.866666667,0.977333333,0.006666667,0.266666667,0,891.2666667,53.84,0.0808,0.109333333,0.6262,0.159666667,63.86666667,0,19.18666667,114.34,0,63.86666667,63.86666667,0,0,1.4,0.5358,0.013133333,0.009133333,0.005466667,0.012533333,0.014666667,0.046866667,0.306466667,0.106266667,0.6506,0.500066667,0.141733333,0.000733333,0,0.0104,0,0.008533333,0,0,0.0002,0.679733333,0.6314
spinach,3.241333333,2.852666667,3.716,49.8,0,88.45333333,0,0,0.478666667,2.38,107.2666667,1.647333333,87.33333333,45.53333333,406.2,268.0666667,0.461333333,0.128533333,1.84,11.33333333,439.7333333,5143.333333,0,2.714666667,0.033333333,4.133333333,0,10475.33333,15,0.059466667,0.175066667,0.460733333,0.173666667,99.86666667,0,21.15333333,501.8,0,99.86666667,99.86666667,0,0,2.466666667,0.785733333,0.0206,0.015533333,0.009333333,0.021733333,0.0258,0.089733333,0.440866667,0.134533333,0.7102,0.492866667,0.2706,0.001266667,0,0.021066667,0,0.0092,0.000133333,0,0.0004,0.731466667,0.772266667
lettuce and lettuce salads,2.092142857,1.746428571,4.301428571,40.5,0,90.97857143,0,0,1.355,1.45,59.42857143,0.445,19,44.71428571,281.2142857,70.14285714,0.417142857,0.071857143,2.121428571,11.64285714,256.0714286,2879,104.7857143,0.552857143,0.057142857,1.5,110.9285714,2219.214286,8.978571429,0.056357143,0.091714286,0.408214286,0.082,47,0.053571429,17.32142857,98.19285714,0.214285714,46.78571429,47.14285714,0,0,10.78571429,0.677428571,0.017428571,0.014214286,0.009142857,0.021785714,0.025214286,0.081857143,0.368428571,0.121642857,0.520857143,0.192642857,0.082785714,0.004785714,0.000857143,0.033142857,0,0.003642857,0.000357143,7.14E-05,0.000428571,0.546285714,0.279214286
other dark green vegetables,2.7292,2.2274,5.0594,45.74,0,88.376,0,0,1.0158,3.016,160.28,1.2748,33.44,43.4,319.28,157.66,0.29,0.11516,1.092,7.14,309.46,3601,32.58,1.8886,0.004,20.54,0,6610.8,35.606,0.07542,0.16672,0.70332,0.1625,59.18,0.001,13.162,424.54,0,59.18,59.18,0,0,1.38,0.50352,0.0114,0.0083,0.00482,0.01098,0.01446,0.04334,0.2978,0.09308,0.59706,0.5286,0.16762,0.00156,0,0.01204,0,0.01316,0,0.0124,4.00E-05,0.6403,0.70112
string beans,1.464,2.3275,5.752,47.7,0,89.615,0,0,1.6615,2.485,39.3,0.766,19.45,29.8,172.6,134.25,0.265,0.06235,0.465,8.7,31.8,219.95,97.75,0.4585,0.015,9.9,0,498.8,5.505,0.0328,0.0737,0.40735,0.0761,25.05,0,14.595,41.5,0,25.05,25.05,0,0,1.55,0.59615,0.0142,0.01,0.00585,0.01355,0.01585,0.05055,0.34605,0.11765,0.70205,0.57315,0.15565,0.0008,0,0.01115,0,0.0094,0,0,0.00025,0.72925,0.72905
cabbage,1.272727273,1.654545455,5.341818182,39.54545455,0,90.82727273,0,0,2.710909091,2.081818182,57.63636364,0.291818182,16.63636364,33.36363636,235.4545455,120.7272727,0.217272727,0.012272727,0.463636364,6.090909091,82.63636364,909.6363636,15,0.347272727,0.009090909,0,3.545454545,89.27272727,39.03636364,0.053,0.051363636,0.337818182,0.164363636,43.18181818,0,11.07272727,53.35454545,0,43.18181818,43.18181818,0,0,1.090909091,0.406818182,0.010272727,0.007090909,0.004272727,0.009818182,0.011909091,0.036545455,0.233545455,0.078,0.509272727,0.396727273,0.072090909,0.000727273,0,0.008181818,0,0.006545455,0,0,9.09E-05,0.528181818,0.468636364
onions,1.371428571,1.764285714,9.565714286,55.85714286,0,86.42857143,0,0,3.925714286,2.071428571,45,0.917142857,16,31.14285714,198,106.5714286,0.23,0.065285714,0.557142857,7,33.57142857,322.8571429,0,0.555714286,0,0,0,609.2857143,10.75714286,0.046428571,0.043,0.284,0.121714286,36,0,6.8,71.77142857,0,36,36,0,0,1.142857143,0.458142857,0.011285714,0.008142857,0.004714286,0.010714286,0.012857143,0.042714286,0.261714286,0.089428571,0.565714286,0.450571429,0.069285714,0.000571429,0,0.009,0,0.007571429,0,0,0,0.587285714,0.520142857
baby food: cereals,5.240714286,2.993571429,47.50714286,237.7142857,0,42.405,0,0,9.847857143,3.314285714,457,24.96571429,51.42857143,204.7857143,268.2857143,15.42857143,5.370714286,0.188142857,12.16428571,0,0.5,4.5,1.071428571,3.53,3.578571429,0.857142857,0,58.57142857,31.82857143,0.636214286,0.723071429,9.754642857,0.492428571,111.0714286,0.403571429,15.86428571,1.65,92.64285714,18.5,176.0714286,3.302142857,0.403571429,0,0.436,0,0,0,0,0.002142857,0.006071429,0.360785714,0.056071429,0.609785714,0.987571429,0.076428571,0,0,0.020928571,0,0.005071429,0,0.000285714,0,0.666285714,1.120714286
baby food: fruit,0.656923077,0.213076923,15.6,64.61538462,0,83,0,0,10.61307692,1.861538462,6.461538462,0.256153846,12.38461538,15.07692308,185.9230769,1.769230769,0.075384615,0.057307692,0.561538462,0,9.692307692,110.1538462,1.384615385,0.719230769,0,14.92307692,0.153846154,49.46153846,28.2,0.016230769,0.059846154,0.584307692,0.098307692,11.30769231,0,4.776923077,4.007692308,0,11.30769231,11.30769231,0.246153846,0,0,0.037923077,0,0,0,0,0.000230769,0.001153846,0.029076923,0.002230769,0.028692308,0.029307692,0.012692308,0,0,0.006384615,0,0,0,0,0,0.037153846,0.041230769
baby food: vegetables,1.427142857,0.200714286,8.325714286,38.64285714,0,89.42857143,0,0,3.052142857,1.621428571,26.92857143,0.57,15,26.35714286,176.6428571,26.21428571,0.227857143,0.056428571,0.35,0.214285714,197.2142857,2097.142857,530.7142857,0.359285714,0,1.5,0,983.5714286,4.935714286,0.034642857,0.054642857,0.548428571,0.058571429,19.64285714,0,15.27857143,10.15,0,19.64285714,19.64285714,0,0,0,0.0385,0.000428571,0.000214286,0.000214286,0.000214286,0.000642857,0.001428571,0.031857143,0.002571429,0.021357143,0.062642857,0.015928571,0,0,0.000642857,0,0,0,0,0,0.022,0.078785714
baby food: mixtures,2.051666667,1.023333333,13.40666667,69.41666667,0,82.89166667,0,0,6.7675,1.575,27.33333333,0.525833333,16.66666667,38.75,189.5833333,18.16666667,0.321666667,0.052083333,1.808333333,4.833333333,87.66666667,896.4166667,190.75,0.420833333,0.133333333,5,0,317.6666667,16.84166667,0.036416667,0.077,0.64325,0.1075,13.75,0.073333333,11.31666667,6.483333333,0.333333333,13.16666667,14.08333333,0.079166667,0.003333333,4.083333333,0.361333333,0.00925,0.006,0.003916667,0.008416667,0.011333333,0.038416667,0.200333333,0.060583333,0.23875,0.151083333,0.017916667,0.001583333,0,0.018,0.0005,0.000916667,0,0,0.0005,0.271833333,0.176583333
baby food: meat and dinners,8.46,4.638181818,6.764545455,103.9090909,0,79.35454545,0,0,0.75,0.454545455,42.18181818,0.870909091,12.36363636,80.27272727,130.5454545,123.5454545,1.261818182,0.086909091,8.709090909,4.363636364,40.90909091,395.8181818,85.72727273,0.224545455,0.272727273,0.272727273,0,134.8181818,2.4,0.049181818,0.118818182,1.898727273,0.091909091,15.18181818,0.486363636,29.04545455,3.009090909,7.818181818,7.363636364,20.72727273,0,0,32,1.407909091,0.010454545,0.005090909,0.002727273,0.006,0.008454545,0.067454545,0.822,0.347181818,1.536727273,0.829909091,0.060909091,0.040545455,0.005545455,0.161545455,0.004909091,0.014454545,0,0.001818182,0.008727273,1.817181818,1.022727273
baby food: yogurt,3.65,4.26,8.735,88,0,82.55,0,0,6.31,0.05,121.5,0.025,10.5,97,159.5,41.5,0.41,0.008,2.2,45.5,45.5,0,0,0.065,1.2,0,0,0,0.9,0.053,0.2345,0.13,0.0435,7,0.35,14.95,0.2,0,7,7,0,0,13.5,2.205,0.091,0.0625,0.04,0.0885,0.109,0.363,1.0165,0.3535,0.728,0.078,0.0255,0,0,0.0675,0,0.001,0,0.0005,0,0.832,0.0875
baby food: snacks and sweets,8.017272727,5.347272727,72.22727273,358,0,11.59,0,0,21.98181818,1.9,414.3636364,10.46545455,46.18181818,326.6363636,326.6363636,188.2727273,6.315454545,0.147,9.790909091,9.636363636,17.45454545,84.90909091,3.454545455,4.073636364,0.081818182,12.18181818,0,116.4545455,7.263636364,0.699,1.021,10.94690909,1.031727273,33.63636364,0.227272727,25.19090909,4.254545455,16.18181818,17.54545455,44.81818182,3.726363636,0,5.545454545,0.918636364,0.021818182,0.011636364,0.008363636,0.016727273,0.020545455,0.073727273,0.542090909,0.177,2.299545455,1.038545455,0.173272727,0.001181818,0.000272727,0.028818182,0,0.034909091,0.000272727,0.000272727,0,2.410727273,1.279454545
baby juice,0.05,0.066666667,12.3,48.83333333,0,87.36666667,0,0,10.71333333,0.15,8.5,0.385,5.666666667,8.666666667,105,7.833333333,0.05,0.040833333,0.15,0,26.83333333,320,0.166666667,0.371666667,0,3,0,22.83333333,33.85,0.0085,0.021333333,0.1415,0.037833333,1.833333333,0,3.233333333,3.5,0,1.833333333,1.833333333,0,0,0,0.014,0,0,0,0,0,0,0.012166667,0.0015,0.002,0.021166667,0.0035,0,0,0,0,0,0,0,0,0.002666667,0.023833333
baby water,0,0,0,0,0,99.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bean cake,5.8,21.41,49.88,414,0,21.96,0,0,20.37,3,15,2.58,21,74,160,186,0.53,0.12,5.1,0,0,0,0,3.97,0,0,0,5,0.3,0.268,0.139,1.967,0.051,70,0,12,23.4,29,41,90,0,0,0,2.842,0,0,0,0,0,0.01,2.055,0.602,8.608,7.205,0.963,0.001,0,0.073,0,0.14,0,0,0,8.834,8.176
beans with rice,6.276,4.688,23.866,162,0,63.52,0,0,0.35,3.88,41.6,2.07,38.2,89,291.2,263,0.93,0.168,4.64,0.2,1,9.6,0,1.35,0,0.2,519.2,0.8,0.36,0.134,0.037,0.859,0.105,71.8,0.026,20.68,6.1,17.4,54.4,84,0,0,1.2,0.69,0,0,0,0,0,0.005,0.508,0.138,1.854,1.524,0.233,0.001,0,0.018,0,0.029,0,0,0,1.905,1.76
black bean salad,3.08,3.85,12.61,94,0,79.14,0,0,3.53,3.4,20,0.9,20,60,211,350,0.32,0.097,1,0,7,78,17,0.71,0,4,412,141,4.4,0.076,0.068,0.545,0.065,35,0,14.3,11.4,0,35,35,0,0,0,0.567,0,0,0.017,0.016,0,0.003,0.372,0.129,0.985,1.65,0.272,0.001,0,0.004,0,0.019,0,0.001,0,1.011,1.927
black beans with rice,5.913,5.353,23.867,166.667,0,63.423,0,0,0.22,5.067,18.333,1.533,47,101.333,215.667,245,0.83,0.146,3.3,0,0,0,0,1.437,0,0,0,0,0,0.182,0.038,0.931,0.067,94,0,19.5,6.7,14.333,79.667,104,0,0,0,0.769,0,0,0,0.001,0,0.004,0.574,0.148,2.09,1.772,0.274,0,0,0.017,0,0.033,0,0,0,2.144,2.048
chili,6.28,2.42,18.89,119,0,70.66,0,0,1.57,6,31,1.98,36,105,351,316,0.76,0.194,2.7,0,11,112,11,1.09,0,17,2096,18,6.4,0.127,0.059,0.537,0.158,105,0,24.8,7.2,0,105,105,0,0,0,0.348,0,0,0,0,0,0.002,0.266,0.062,0.873,0.772,0.191,0,0,0.007,0,0.013,0,0,0,0.894,0.963
falafel,8.28,41.19,28.96,514,0,18.73,0,0,4.52,4.8,86,2.31,31,112,259,499,1.02,0.178,1.4,0,12,136,0,7.74,0,11,0,111,7.3,0.134,0.099,0.8,0.159,79,0,37.5,72.2,5,75,83,0,0,0,5.427,0,0,0,0,0,0.023,3.926,1.151,16.586,14.177,1.736,0.001,0,0.141,0,0.262,0,0,0,17.014,15.928
kidney beans with rice,5.81,5.33,23.367,164,0,64.087,0,0,0.22,4.333,19,1.993,33.333,102.333,242.333,245.333,0.803,0.165,3.3,0,0,0,0,0.97,0,0,0,0,0.6,0.138,0.038,0.969,0.094,84,0,18.367,9.533,14.333,69.667,94,0,0,0,0.732,0,0,0,0.001,0,0.004,0.538,0.148,2.086,1.761,0.308,0,0,0.017,0,0.033,0,0,0,2.139,2.072
lentil curry,3.68,5.65,12.33,111,0,76.63,0,0,3.21,3.4,25,1.42,23,78,292,383,0.59,0.154,1.5,1,37,374,107,1.41,0,1,4468,73,7.7,0.07,0.062,0.806,0.131,63,0.01,19.1,8.6,0,63,63,0,0,0,1.288,0.003,0.005,0.047,0.039,0.292,0.128,0.555,0.179,1.931,1.701,0.205,0,0,0.019,0,0.029,0,0,0,1.983,1.908
lentil curry with rice,3.28,3.5,18.6,118,0,73.18,0,0,1.95,2.2,19,1.33,19,64,189,328,0.55,0.12,3.9,1,22,225,64,0.86,0,1,2681,44,4.6,0.107,0.042,1.07,0.115,61,0.01,12.3,5.2,22,39,76,0,0,0,0.804,0.002,0.003,0.028,0.023,0.175,0.078,0.361,0.109,1.193,1.045,0.128,0,0,0.012,0,0.017,0,0,0,1.225,1.175
pinto beans with rice,5.997,5.413,25.253,173,0,61.887,0,0,0.23,5.2,29,1.527,36.333,105.333,260.333,245,0.753,0.152,6,0,0,0,0,1.473,0,0,0,0,0.4,0.155,0.04,0.833,0.151,106,0,21,6.833,14.333,91.333,116.333,0,0,0,0.767,0,0,0,0.001,0,0.004,0.576,0.145,2.138,1.757,0.291,0,0,0.017,0,0.033,0,0,0,2.191,2.051
vegetarian stroganoff,7.69,10.03,11.78,167,0,68.65,0,0,1.79,2.6,82,1.25,28,120,207,460,0.71,0.117,11.2,32,32,4,0,0.76,0.1,0,0,2,2.3,1.078,0.149,1.92,0.146,55,0.8,17,9.5,3,53,57,0,0.78,13,3.353,0.008,0.043,0.069,0.112,0.127,0.416,1.752,0.567,2.826,2.344,0.21,0.006,0,0.081,0,0.038,0.001,0,0.002,2.818,2.659
artichokes,5.33,5.94,22.28,160,0,64.76,0,0,2.13,3.9,85,1.43,32,95,218,404,0.67,0.12,6.7,8,14,75,0,0.92,0,0,0,297,5.3,0.194,0.138,1.848,0.074,63,0.1,20.6,28.2,12,51,72,0,0,3,1.386,0.017,0.014,0.009,0.022,0.026,0.082,0.875,0.301,2.916,0.822,0.085,0.002,0,0.052,0,0.012,0,0,0,2.967,0.907
channa saag,4.1,4.33,8.79,89,0,80.98,0,0,1.81,3,66,1.58,81,69,429,270,0.66,0.137,0.9,0,221,2640,6,2.32,0,17,0,5595,16,0.079,0.154,0.514,0.201,92,0,23.7,363.5,0,92,92,0,0,0,0.553,0,0,0,0,0,0.011,0.405,0.107,1.51,1.378,0.256,0,0,0.017,0,0.023,0,0,0,1.552,1.636
cobb salad,11.32,4.33,2.65,93,0,80.82,0,0,1.1,1.2,25,0.45,18,120,281,159,0.58,0.064,11.2,15,82,787,34,0.66,0.2,4,800,763,9,0.075,0.125,3.645,0.186,25,0.2,51.1,31.9,0,24,24,0,0,61,1.046,0,0,0,0,0,0.019,0.805,0.211,1.911,0.558,0.042,0.019,0.003,0.187,0,0.015,0.001,0,0.001,2.118,0.634
greek salad,2.75,2.26,4.35,48,0,89.43,0,0,1.43,1.5,57,0.9,13,45,228,246,0.4,0.074,3.2,8,240,2777,10,0.41,0.1,2,238,1301,5.5,0.049,0.083,0.929,0.063,36,0.11,11.3,55.9,0,36,36,0,0,6,0.859,0.021,0.017,0.026,0.025,0.028,0.106,0.482,0.132,0.906,0.127,0.074,0,0.04,0.047,0.002,0.003,0.023,0.005,0.001,0.975,0.262
palak paneer,5.42,7.02,4.28,101,0,81.92,0,0,1.89,0.9,60,0.55,38,75,244,242,0.36,0.042,3.5,15,123,1286,12,1.76,0,3,313,2666,9.2,0.048,0.129,0.313,0.108,32,0.13,13.4,177.2,0,32,32,0,0,7,1.81,0.049,0.015,0.012,0.031,0.057,0.189,1.017,0.32,2.397,1.743,0.276,0,0,0.043,0,0.034,0,0,0,2.536,2.025
ratatouille,1.09,4.73,5.77,67,0,87.47,0,0,3.39,1.9,21,0.44,14,29,219,151,0.22,0.071,0.4,0,20,217,2,1.32,0,39,539,364,18.7,0.156,0.055,0.55,0.128,18,0,7.2,5.1,0,18,18,0,0,0,0.752,0,0,0,0.003,0.001,0.001,0.587,0.125,3.03,0.466,0.054,0.001,0,0.05,0,0.013,0,0,0,3.097,0.52
almond chicken,15.66,13.16,4.46,195,0,65.46,0,0,1.42,1.2,36,0.82,37,166,243,330,1.14,0.137,12.6,4,19,160,2,3.15,0,41,0,50,11.8,0.051,0.21,4.344,0.18,16,0.19,39.3,13.7,0,15,15,0,0,57,1.919,0,0,0,0,0,0.02,1.462,0.384,6.045,3.519,0.245,0.011,0,0.27,0,0.043,0,0,0,6.369,3.781
egg foo yung,11.69,6.16,5.2,125,0,74.97,0,0,3.07,0.3,54,1,18,167,143,340,1.02,0.081,26.6,101,107,59,0,1.35,1.1,6,0,326,1.7,0.042,0.19,0.794,0.099,35,0.81,160.1,23.4,0,35,35,0,0,234,1.712,0,0,0,0,0.003,0.021,1.216,0.433,2.075,1.155,0.068,0.018,0.037,0.119,0,0.011,0.035,0,0.003,2.248,1.476
hunan beef,7.08,5.3,7.29,105,0,78.82,0,0,2.41,1.5,22,1.11,15,76,204,409,1.5,0.049,6.7,0,63,595,323,0.82,0.1,1,4,268,11.6,0.033,0.055,1.32,0.161,45,0.48,34.5,51.3,0,45,45,0,0,14,0.978,0.003,0.008,0.002,0.002,0.002,0.028,0.634,0.253,1.125,1.834,0.264,0.014,0.001,0.053,0,0.02,0.004,0.002,0.005,1.217,2.13
kung pao beef,17.93,14.44,4.55,216,0,61.87,0,0,1.43,1,16,1.57,29,136,225,175,2.93,0.092,17.1,0,15,159,2,1.7,0.1,41,0,49,11.7,0.057,0.124,4.082,0.285,20,0.87,65.9,14.4,0,20,20,0,0,46,3.154,0,0,0,0.01,0.01,0.139,1.961,0.783,6.185,2.985,0.263,0.013,0.001,0.214,0,0.092,0.002,0.005,0.008,6.5,3.275
kung pao chicken,9.76,6.98,6.87,129,0,74.78,0,0,3.03,1.5,20,0.76,24,94,218,402,0.74,0.073,8.1,0,65,601,341,1.02,0,16,0,226,7.1,0.032,0.055,2.757,0.243,16,0.11,37.4,13.6,0,16,16,0,0,26,1.352,0.003,0,0.002,0.001,0.002,0.014,0.904,0.295,2.044,2.714,0.246,0.031,0.003,0.077,0,0.04,0.003,0.003,0.004,2.173,3.02
kung pao pork,16.89,14.76,4.55,219,0,62.59,0,0,1.43,1,22,0.84,33,165,313,183,1.58,0.084,18.8,1,16,159,2,1.59,0.4,41,0,49,12,0.536,0.208,4.351,0.361,15,0.38,56.6,13.7,0,15,15,0,0,41,3.202,0,0,0,0.005,0.005,0.065,1.982,0.859,6.405,3.198,0.23,0.022,0,0.179,0,0.13,0,0.005,0,6.745,3.474
kung pao shrimp,13.94,10.74,5.32,173,0,67.93,0,0,1.43,1,59,0.45,37,193,184,210,1.12,0.185,26.1,43,58,159,2,2.6,0.1,41,0,49,11.7,0.035,0.053,2.656,0.192,24,0.72,75.4,13.9,0,24,24,0,0,107,1.689,0,0,0,0,0.005,0.015,1.027,0.366,4.554,2.961,0.225,0.035,0.071,0.042,0,0.088,0.068,0.005,0.006,4.74,3.388
moo goo gai pan,7.11,2.44,4.87,69,0,84.7,0,0,2.01,1.4,11,0.42,12,79,209,106,0.47,0.127,10.6,2,10,92,3,0.76,0,0,0,167,6.4,0.041,0.159,2.853,0.238,17,0.04,22.5,16.5,0,17,17,0,0,17,0.389,0,0,0,0.004,0.002,0.004,0.28,0.082,0.806,0.667,0.081,0.012,0.001,0.032,0,0.013,0.001,0,0.001,0.853,0.771
moo shu pork,10.41,10.7,4.01,153,0,72.08,0,0,1.76,0.9,43,1.12,25,137,264,815,1.08,0.078,15.7,35,75,478,1,1.8,0.5,3,0,172,10,0.249,0.231,2.017,0.254,33,0.31,85.3,33.9,0,33,33,0,0,100,1.93,0,0,0,0,0.001,0.017,1.364,0.474,4.151,3.172,0.344,0.016,0,0.088,0,0.054,0,0,0,4.307,3.605
orange chicken,14.46,12.68,22.46,262,0,48.43,0,0,13.6,0.8,14,0.94,20,130,209,553,1.13,0.042,17.1,74,75,9,0,1.07,0.1,3,25,81,0.9,0.043,0.22,3.59,0.23,10,0.2,66.1,24.4,0,10,10,0,0,61,2.422,0,0,0.005,0.005,0.003,0.022,1.602,0.678,3.284,5.329,0.647,0.067,0.005,0.136,0,0.043,0.001,0,0.003,3.474,6.086
sesame chicken,14.33,14.25,26.88,293,0,42.8,0,0,15.98,0.7,12,1.09,22,130,204,482,0.91,0.051,16.7,82,83,10,0,1.31,0.1,3,28,90,1,0.04,0.225,3.96,0.267,8,0.25,61.1,27.1,0,8,8,0,0,59,2.41,0,0,0.001,0.005,0.002,0.021,1.651,0.632,3.342,5.966,0.812,0.06,0.005,0.113,0,0.076,0.003,0.005,0.006,3.546,6.885
